company,category,organization
BRASEIRO CHURRASPAO,Alimentação,$alimentação/restaurante
RESTAURANTE O CASARAO,Alimentação,$alimentação/restaurante
PAPAS PIZZA DELIVERY,Alimentação,$alimentação/restaurante
123PEDIU,Alimentação,$alimentação/restaurante
URBANA PIZZARIA QUADRADA E RESTAURANTE,Alimentação,$alimentação/restaurante
ZAY SUSHI,Alimentação,$alimentação/restaurante
O CORONEL COZINHA E BAR,Alimentação,$alimentação/restaurante
CASA DO ASSADO,Alimentação,$alimentação/restaurante
SUSHI PRIME,Alimentação,$alimentação/restaurante
RESTAURANTE DOCE FAMILIA,Alimentação,$alimentação/restaurante
DEDO DE PROSA ESPETARIA,Alimentação,$alimentação/restaurante
VILLA GUARAREMA,Alimentação,$alimentação/restaurante
BUTEKO DO PEIXE,Alimentação,$alimentação/restaurante
DOLORES RESTAURANTE,Alimentação,$alimentação/restaurante
PORTO MAR RESTAURANTE E PIZZARIA,Alimentação,$alimentação/restaurante
PILLA ALBERTI REFEICOES VOTUPORANGA LTDA,Alimentação,$alimentação/restaurante
COMIDARIA 131,Alimentação,$alimentação/restaurante
COSTELAO CHURRASCARIA,Alimentação,$alimentação/restaurante
OKANE CULINARIA ORIENTAL,Alimentação,$alimentação/restaurante
SABROSO BISTRO,Alimentação,$alimentação/restaurante
RESTAURANTE BRECHO,Alimentação,$alimentação/restaurante
3 MARIAS GASTRONOMIA,Alimentação,$alimentação/restaurante
STOP MIX,Alimentação,$alimentação/restaurante
RODIZIO VILLA PIZZA,Alimentação,$alimentação/restaurante
POLLO LOKO PERUS,Alimentação,$alimentação/restaurante
GALPAO KARIOK'S HOUSE BEER RESTAURANTE,Alimentação,$alimentação/restaurante
SANTO ORIENTAL,Alimentação,$alimentação/restaurante
PANELA MINEIRA,Alimentação,$alimentação/restaurante
YUGI SUSHI,Alimentação,$alimentação/restaurante
CHURRASCARIA GAUCHA,Alimentação,$alimentação/restaurante
JANINHA,Alimentação,$alimentação/restaurante
EL PATRON PERINI,Alimentação,$alimentação/restaurante
MANA NA BRASA,Alimentação,$alimentação/restaurante
NEGA DO SUSHI 2,Alimentação,$alimentação/restaurante
CAI NAGUA,Alimentação,$alimentação/restaurante
EMPORIO ARAUJO,Alimentação,$alimentação/restaurante
BOM DE GARFO BAR E RESTAURANTE,Alimentação,$alimentação/restaurante
LOTUS SUSHI,Alimentação,$alimentação/restaurante
RESTAURANTE PEGORINI,Alimentação,$alimentação/restaurante
RESTAURANTE PRATO DE OURO,Alimentação,$alimentação/restaurante
PICANHA & COMPANHIA,Alimentação,$alimentação/restaurante
RESTAURANTE SABOR NA MESA,Alimentação,$alimentação/restaurante
RESTAURANTE MISSOES,Alimentação,$alimentação/restaurante
PAPA PIZZA,Alimentação,$alimentação/restaurante
BISTRO MARGARIDA,Alimentação,$alimentação/restaurante
CHURRASCARIA TCHE GALETOS,Alimentação,$alimentação/restaurante
SAHARA RESTAURANTE BAR,Alimentação,$alimentação/restaurante
VELHO TEXAS BAR E RESTAURANTE,Alimentação,$alimentação/restaurante
BORGES RESTAURANTE,Alimentação,$alimentação/restaurante
TEMPERO 2,Alimentação,$alimentação/restaurante
BIANCO RISTORANTINO,Alimentação,$alimentação/restaurante
O BERRINHA,Alimentação,$alimentação/restaurante
ESPLENDOR RESTAURANTE E PETISCARIA BIER,Alimentação,$alimentação/restaurante
HAPPY PIZZA,Alimentação,$alimentação/restaurante
BISTRO ALECRIM DO SITIO,Alimentação,$alimentação/restaurante
REDE PREMIUM RESTAURANTES,Alimentação,$alimentação/restaurante
GUILHERMINA EXPRESS,Alimentação,$alimentação/restaurante
HEALTHY POR VC,Alimentação,$alimentação/restaurante
BRABOS FOOD,Alimentação,$alimentação/restaurante
VR HOTEL & ESPACO EVENTOS,Alimentação,$alimentação/restaurante
RESTAURANTE BOM SABOR,Alimentação,$alimentação/restaurante
EMPORIO GOURMET ITAIPAVA,Alimentação,$alimentação/restaurante
MASTER GRILL,Alimentação,$alimentação/restaurante
COMIDA CASEIRA,Alimentação,$alimentação/restaurante
SRA. PIZZA,Alimentação,$alimentação/restaurante
RESTAURANTE 50TAO,Alimentação,$alimentação/restaurante
KONI STORE,Alimentação,$alimentação/restaurante
PIZZA MANIA,Alimentação,$alimentação/restaurante
US MINEIRO HOTEL E COZINHA MINEIRA,Alimentação,$alimentação/restaurante
J K RESTAURANTE,Alimentação,$alimentação/restaurante
ACAIDERA FAST,Alimentação,$alimentação/restaurante
FORMULA PIZZARIA,Alimentação,$alimentação/restaurante
GABRIEL ESPETOS,Alimentação,$alimentação/restaurante
VACCARO BURGER,Alimentação,$alimentação/restaurante
LOS PAMPAS BURGUER,Alimentação,$alimentação/restaurante
BLEND PARRILLA,Alimentação,$alimentação/restaurante
DIRE LANCHONETE,Alimentação,$alimentação/restaurante
LANCHONETE LEANDRO,Alimentação,$alimentação/restaurante
NA COZINHA DA KARLE,Alimentação,$alimentação/restaurante
GIRAFFAS SHOPPING LIGHT,Alimentação,$alimentação/restaurante
CALORENTOS BURGUER,Alimentação,$alimentação/restaurante
PROTEIN CLUB,Alimentação,$alimentação/restaurante
BOB'S,Alimentação,$alimentação/restaurante
PRI LANCHES DELIVERY,Alimentação,$alimentação/restaurante
MUITAMIDIA,Alimentação,$alimentação/restaurante
ROMERO BURGER,Alimentação,$alimentação/restaurante
MOUTS BURGUER,Alimentação,$alimentação/restaurante
TROPICANA LANCHES,Alimentação,$alimentação/restaurante
BNM FAST FOOD,Alimentação,$alimentação/restaurante
PASTELARIA CHAPECOENSE,Alimentação,$alimentação/restaurante
ICE LAN SORVETES,Alimentação,$alimentação/restaurante
C FOOD'S,Alimentação,$alimentação/restaurante
JOKERS BURGER,Alimentação,$alimentação/restaurante
MY BROWNIES,Alimentação,$alimentação/restaurante
JF SALGADOS,Alimentação,$alimentação/restaurante
PASTEL OKINAWA,Alimentação,$alimentação/restaurante
NICOS BURGUER,Alimentação,$alimentação/restaurante
DUCKBILL,Alimentação,$alimentação/restaurante
SABOR DA HORA,Alimentação,$alimentação/restaurante
AMOR NO PALITO,Alimentação,$alimentação/restaurante
AIQFRUTA,Alimentação,$alimentação/restaurante
MIGUEL LANCHES,Alimentação,$alimentação/restaurante
CAFE AVENIDA,Alimentação,$alimentação/restaurante
SUPERDAN COMERCIO DE ALIMENTOS,Alimentação,$alimentação/restaurante
ARENA CHICUTE,Alimentação,$alimentação/restaurante
ACAI POWER ALBERTO CINTRA,Alimentação,$alimentação/restaurante
BIS GASTRONOMIA,Alimentação,$alimentação/restaurante
REZA A LENDA PETISCARIA E HAMBURGUERIA,Alimentação,$alimentação/restaurante
FILIAL 23 - SAO BERNARDO DO CAMPO,Alimentação,$alimentação/restaurante
MAMMA MIA SALGADOS E DOCES,Alimentação,$alimentação/restaurante
SINHA BENTA,Alimentação,$alimentação/restaurante
THE BEST ACAI PONTA GROSSA,Alimentação,$alimentação/restaurante
GREGO DO DEL,Alimentação,$alimentação/restaurante
KELL COFFEE,Alimentação,$alimentação/restaurante
CASA DO PARA,Alimentação,$alimentação/restaurante
ACAI PERFECT,Alimentação,$alimentação/restaurante
RUFY ACAI,Alimentação,$alimentação/restaurante
DINO'S HAMBURGUERIA E SORVETERIA,Alimentação,$alimentação/restaurante
N1 CHICKEN SP,Alimentação,$alimentação/restaurante
LANCHONETE INSANA,Alimentação,$alimentação/restaurante
PRACAI,Alimentação,$alimentação/restaurante
DEBURG DELIVERY,Alimentação,$alimentação/restaurante
OURO FINO COMERCIO,Alimentação,$alimentação/restaurante
TAPIOCA DA ILHA,Alimentação,$alimentação/restaurante
AQUA SORVETERIA,Alimentação,$alimentação/restaurante
EMPORIO DA PIZZA,Alimentação,$alimentação/restaurante
SWEET CAKE,Alimentação,$alimentação/restaurante
ACONCHEGO MINEIRO,Alimentação,$alimentação/restaurante
EMPANDA,Alimentação,$alimentação/restaurante
SORVETERIA DONATO,Alimentação,$alimentação/restaurante
MY COFFEE CE,Alimentação,$alimentação/restaurante
SABOR E VIDA,Alimentação,$alimentação/restaurante
PEPPER BURGUER,Alimentação,$alimentação/restaurante
FAMILIA PORTELA BUFFET E REFEICOES,Alimentação,$alimentação/restaurante
VOLCANO BURGER,Alimentação,$alimentação/restaurante
PREDIUM 72,Alimentação,$alimentação/restaurante
VMF COMERCIO DE SOBREMESAS,Alimentação,$alimentação/restaurante
KIBARLANA TRINDADE,Alimentação,$alimentação/restaurante
GELATERIA MELLOW,Alimentação,$alimentação/restaurante
JUPASTEL,Alimentação,$alimentação/restaurante
AMSTERDAM BURGERS & BEERS,Alimentação,$alimentação/restaurante
LAZZULI,Alimentação,$alimentação/restaurante
VILA DO ACAI,Alimentação,$alimentação/restaurante
OAKBERRY UBATUBA,Alimentação,$alimentação/restaurante
CAFE SHOW,Alimentação,$alimentação/restaurante
BE LIFE FOOD,Alimentação,$alimentação/restaurante
GULA GULA LANCHES,Alimentação,$alimentação/restaurante
BAH'ABITUS LANCHES,Alimentação,$alimentação/restaurante
GRILL GARDEN,Alimentação,$alimentação/restaurante
ALCE GELADOS & CAFES,Alimentação,$alimentação/restaurante
JJANG COFFEE,Alimentação,$alimentação/restaurante
PATRONI PIZZA,Alimentação,$alimentação/restaurante
PASTEL DE QUE,Alimentação,$alimentação/restaurante
CASA DO SABOR,Alimentação,$alimentação/restaurante
LANCHONETE SILVA,Alimentação,$alimentação/restaurante
TASTY SALAD SHOP,Alimentação,$alimentação/restaurante
ACAI DI APE,Alimentação,$alimentação/restaurante
ZUQUI LANCHES,Alimentação,$alimentação/restaurante
SORVETE ITALIA,Alimentação,$alimentação/restaurante
CAFETARIA OFFICE JARDINS,Alimentação,$alimentação/restaurante
VEINHO LANCHES,Alimentação,$alimentação/restaurante
FORMOSA FORMIGA DOCES E SALGADOS,Alimentação,$alimentação/restaurante
FISH ONE,Alimentação,$alimentação/restaurante
UMAI HOUSE,Alimentação,$alimentação/restaurante
LA VILLET,Alimentação,$alimentação/restaurante
OFICINA BURGUER CURITIBA,Alimentação,$alimentação/restaurante
LANCHONETE E PIZZARIA DELICIAS DA MICHA,Alimentação,$alimentação/restaurante
D'GUST ACAITERIA,Alimentação,$alimentação/restaurante
CONVENIENCIA OLHOS D'AGUA,Alimentação,$alimentação/restaurante
DU'CHEFF PASTELARIA,Alimentação,$alimentação/restaurante
ESPETINHOS EXPRESS,Alimentação,$alimentação/restaurante
GOSTOZIM,Alimentação,$alimentação/restaurante
KOMPRAO KOCH ATACADISTA,Alimentação,$alimentação/supermercado
MERCEARIA GALENO,Alimentação,$alimentação/supermercado
EXPRESS BEBIDAS,Alimentação,$alimentação/supermercado
GIGANTE ATACADISTA,Alimentação,$alimentação/supermercado
SUPERMERCADO BERNARDAO,Alimentação,$alimentação/supermercado
MERCEARIA SPILARI,Alimentação,$alimentação/supermercado
BOA ESPERANCA SUPERMERCADO,Alimentação,$alimentação/supermercado
PEG PAG NUNES,Alimentação,$alimentação/supermercado
BAR E ARMAZEM SANTA MARIA,Alimentação,$alimentação/supermercado
ARMAZEM RIBEIRO,Alimentação,$alimentação/supermercado
PANIFICADORA MARIENSE,Alimentação,$alimentação/supermercado
SUPERMERCADO ORIENTE MEDIO,Alimentação,$alimentação/supermercado
LOJA JEAN,Alimentação,$alimentação/supermercado
MERCADINHO FONTANA,Alimentação,$alimentação/supermercado
A PIONEIRA,Alimentação,$alimentação/supermercado
PANIFICADORA E CONFEITARIA ZAMBELLE,Alimentação,$alimentação/supermercado
COMERCIAL GADELHA,Alimentação,$alimentação/supermercado
BAR E ARMAZEM DO GORDO,Alimentação,$alimentação/supermercado
CESTAO POPULAR,Alimentação,$alimentação/supermercado
HIPER MODELO,Alimentação,$alimentação/supermercado
ARMAZEM SARAMANDAIA,Alimentação,$alimentação/supermercado
TREVO DISTRIBUIDORA DE MERCADORIAS EM GERAL,Alimentação,$alimentação/supermercado
DISTRIBUIDORA CASA VELHA,Alimentação,$alimentação/supermercado
COMERCIAL JUNIOR,Alimentação,$alimentação/supermercado
COMERCIAL MELLO,Alimentação,$alimentação/supermercado
LOJA DA FABRICA DM,Alimentação,$alimentação/supermercado
SUPER CAMELO FILHO,Alimentação,$alimentação/supermercado
ASSAI ATACADISTA,Alimentação,$alimentação/supermercado
SUPERMERCADO KOCH,Alimentação,$alimentação/supermercado
ROBERTO PAIVA DE OLIVEIRA MERCEARIA,Alimentação,$alimentação/supermercado
NORDECENTRO,Alimentação,$alimentação/supermercado
FLOR DE MEL,Alimentação,$alimentação/supermercado
ARMAZEM LEMOS,Alimentação,$alimentação/supermercado
BP SOLAR INTERNATIONAL LLC,Alimentação,$alimentação/supermercado
ARMAZEM DOS AMIGOS,Alimentação,$alimentação/supermercado
SUPERMERCADO BELA VISTA,Alimentação,$alimentação/supermercado
ARMAZEM ESPERANCA,Alimentação,$alimentação/supermercado
SUPERMERCADO PEG PAG,Alimentação,$alimentação/supermercado
ARMAZEM DELVA,Alimentação,$alimentação/supermercado
MERCADINHO ECONOMIA,Alimentação,$alimentação/supermercado
MINIBOX REZENDE,Alimentação,$alimentação/supermercado
SUPERMERCADO BEZERRA,Alimentação,$alimentação/supermercado
COMERCIAL CURITIBA,Alimentação,$alimentação/supermercado
PANIFICADORA PROGRESSO,Alimentação,$alimentação/supermercado
SUPERMERCADOS BOMPRECO,Alimentação,$alimentação/supermercado
HIPER BOMPRECO,Alimentação,$alimentação/supermercado
O CESTAO,Alimentação,$alimentação/supermercado
MERCEARIA MINEIRA,Alimentação,$alimentação/supermercado
CASA MIRANDA,Alimentação,$alimentação/supermercado
L.B. RODRIGUES QUENTINHAS,Alimentação,$alimentação/supermercado
SUPERMERCADO BIG LAR,Alimentação,$alimentação/supermercado
BAR E MERCEARIA ORIENTE,Alimentação,$alimentação/supermercado
MERCADO CENTRAL,Alimentação,$alimentação/supermercado
ARMAZEM MUSSI,Alimentação,$alimentação/supermercado
SUPERMERCADOS PEG PAG,Alimentação,$alimentação/supermercado
LOJAO DAS VERDURAS,Alimentação,$alimentação/supermercado
ATLAS,Alimentação,$alimentação/supermercado
ROSAL SUPERMERCADOS,Alimentação,$alimentação/supermercado
SUPER MERCADOS LEAO,Alimentação,$alimentação/supermercado
MERCADO PARAISO,Alimentação,$alimentação/supermercado
COMERCIAL SILVA,Alimentação,$alimentação/supermercado
LISAMAR SUPERMERCADO,Alimentação,$alimentação/supermercado
PIT STOP DA BEBIDA,Alimentação,$alimentação/supermercado
RN ALIMENTOS,Alimentação,$alimentação/supermercado
SAO LUIZ MERCADINHO,Alimentação,$alimentação/supermercado
CEASA,Alimentação,$alimentação/supermercado
PANIFICADORA E CONFEITARIA PINHO,Alimentação,$alimentação/supermercado
PEG PAG RODRIGUES,Alimentação,$alimentação/supermercado
MERCEARIA SAO PAULO,Alimentação,$alimentação/supermercado
CASA NOSSA SENHORA APARECIDA,Alimentação,$alimentação/supermercado
MERCEARIA SAO JOSE,Alimentação,$alimentação/supermercado
MERCEARIA BRASILIA,Alimentação,$alimentação/supermercado
MERCEARIA ITACOLOMI,Alimentação,$alimentação/supermercado
CARREFOUR,Alimentação,$alimentação/supermercado
ARMAZEM BRASIL,Alimentação,$alimentação/supermercado
MERCEARIA RODRIGUEZ,Alimentação,$alimentação/supermercado
EDIPAL,Alimentação,$alimentação/supermercado
SORVETERIA LUANA,Alimentação,$alimentação/supermercado
SUPERMERCADO CONFIANCA,Alimentação,$alimentação/supermercado
CASA BEZERRA,Alimentação,$alimentação/supermercado
MERCEARIA CENTRAL,Alimentação,$alimentação/supermercado
SONHO DE MEL LANCHONETE E CONFEITARIA,Alimentação,$alimentação/supermercado
BAR E ARMAZEM ELDORADO,Alimentação,$alimentação/supermercado
O FLORESTAO,Alimentação,$alimentação/supermercado
ARMAZEM SAO LUIZ,Alimentação,$alimentação/supermercado
COMERCIAL BIRIGUI,Alimentação,$alimentação/supermercado
SUPERMERCADO SAO JOSE,Alimentação,$alimentação/supermercado
MERCADO PINHEIRO,Alimentação,$alimentação/supermercado
BARTO ATACADISTA,Alimentação,$alimentação/supermercado
CALANGOS BEATS LANCHONETE E MERCEARIA,Alimentação,$alimentação/supermercado
ARMAZEM SILVA,Alimentação,$alimentação/supermercado
CE QUE SABE LANCHONETE,Alimentação,$alimentação/supermercado
MAQUINA DE BENEFICIAR ARROZ LIMOEIRO,Alimentação,$alimentação/supermercado
BAR E ARMAZEM CANGUARA,Alimentação,$alimentação/supermercado
ARMAZEM ALAGOANO,Alimentação,$alimentação/supermercado
EMPORIO LAGOANO,Alimentação,$alimentação/supermercado
MERCEARIA REZENDE,Alimentação,$alimentação/supermercado
BAR E MERCEARIA SAO JOSE,Alimentação,$alimentação/supermercado
CASA FLORESTA,Alimentação,$alimentação/supermercado
ATACADAO,Alimentação,$alimentação/supermercado
REDE OBA,Alimentação,$alimentação/supermercado
SUPERMERCADO SANTIAGO,Alimentação,$alimentação/supermercado
CESTA DO POVO,Alimentação,$alimentação/supermercado
GIL SUPERMERCADO,Alimentação,$alimentação/supermercado
MERCADO DUCIDO,Alimentação,$alimentação/supermercado
DIA BRASIL SOCIEDADE LIMITADA,Alimentação,$alimentação/supermercado
SUPERMERCADO GRANJEIRO,Alimentação,$alimentação/supermercado
SUPERMERCADO ISABELLA,Alimentação,$alimentação/supermercado
SUPERMERCADO PAIZAO,Alimentação,$alimentação/supermercado
SMART BOX SICILIANO,Alimentação,$alimentação/supermercado
MINI MERCADO 2 IRMAOS,Alimentação,$alimentação/supermercado
MERCADO DAS CARNES,Alimentação,$alimentação/supermercado
DUTRONO ALIMENTOS,Alimentação,$alimentação/supermercado
SUPERMERCADO AUGUSTONI,Alimentação,$alimentação/supermercado
MERCADO SACOLA CHEIA,Alimentação,$alimentação/supermercado
SUPERMERCADO EXPRESS,Alimentação,$alimentação/supermercado
COOP - COOPERATIVA DE CONSUMO,Alimentação,$alimentação/supermercado
PAXA SUPERMERCADOS,Alimentação,$alimentação/supermercado
SUPERMERCADO SAO FRANCISCO LOJA 4,Alimentação,$alimentação/supermercado
SUPERMERCADO MAIS BARATO,Alimentação,$alimentação/supermercado
SUPERMERCADO NEVES,Alimentação,$alimentação/supermercado
DIA,Alimentação,$alimentação/supermercado
DA TERRA HORTIFRUTI,Alimentação,$alimentação/supermercado
SUPER CONRADINHO,Alimentação,$alimentação/supermercado
SUPER UNIAO SUPERMERCADOS,Alimentação,$alimentação/supermercado
SUPER ALIANCA,Alimentação,$alimentação/supermercado
ATACADISTA MEGA,Alimentação,$alimentação/supermercado
SUPERMERCADO 3 IRMAOS,Alimentação,$alimentação/supermercado
PAO DA TERRA,Alimentação,$alimentação/supermercado
JAS ON,Alimentação,$alimentação/supermercado
SUPERMERCADO + ECONOMICO,Alimentação,$alimentação/supermercado
MERCADO TRADICAO,Alimentação,$alimentação/supermercado
SUPERMERCADO BOY,Alimentação,$alimentação/supermercado
JMS MERCADO E DEPOSITO DE BEBIDAS,Alimentação,$alimentação/supermercado
SUPERMERCADO BONA,Alimentação,$alimentação/supermercado
GRAN ARMAZEM,Alimentação,$alimentação/supermercado
RG SUPERMERCADO,Alimentação,$alimentação/supermercado
SUPERMERCADO E HORTIFRUTI MIX,Alimentação,$alimentação/supermercado
SUPERMERCADO SAO LUIZ,Alimentação,$alimentação/supermercado
MERCADO DUAS IRMAS,Alimentação,$alimentação/supermercado
SUPERMERCADO PRIME,Alimentação,$alimentação/supermercado
MERCADO MIRAPORTO & DISTRIBUIDORA JB,Alimentação,$alimentação/supermercado
MERCADINHO ECONOMICO IV,Alimentação,$alimentação/supermercado
FAMA SUPERMERCADO,Alimentação,$alimentação/supermercado
M2BE MARKET,Alimentação,$alimentação/supermercado
FURKIM SERVICOS,Alimentação,$alimentação/supermercado
VIRTUE,Alimentação,$alimentação/supermercado
MERCEARIA BRANDAO,Alimentação,$alimentação/supermercado
SUPERCOUTO,Alimentação,$alimentação/supermercado
COMERCIAL FERREIRA,Alimentação,$alimentação/supermercado
SAO LUIS SUPERMERCADO,Alimentação,$alimentação/supermercado
SUPERMERCADO COMPRE BEM,Alimentação,$alimentação/supermercado
SAO JORGE SUPER,Alimentação,$alimentação/supermercado
MERCADINHO CEDRO,Alimentação,$alimentação/supermercado
CASA DE CARNES RICCI,Alimentação,$alimentação/supermercado
MERCANTIL IMPERATRIZ,Alimentação,$alimentação/supermercado
SUPERMERCADO RODRIGUES,Alimentação,$alimentação/supermercado
SUPERMERCADO SAO ROQUE LTDA,Alimentação,$alimentação/supermercado
PORTAL SUPERMERCADO E CONVENIENCIA,Alimentação,$alimentação/supermercado
SUPERMERCADO NOVO LAR,Alimentação,$alimentação/supermercado
MIX MATEUS,Alimentação,$alimentação/supermercado
SUPERMERCADO NOSSA SENHORA APARECIDA,Alimentação,$alimentação/supermercado
TOTI SUPERMERCADO,Alimentação,$alimentação/supermercado
SUPERMERCADO SANTO ANTONIO EXPRESS,Alimentação,$alimentação/supermercado
BW COMERCIO DE ALIMENTOS,Alimentação,$alimentação/supermercado
BOM SABOR SUPERMERCADOS,Alimentação,$alimentação/supermercado
TANTO SUPERMERCADOS,Alimentação,$alimentação/supermercado
IDST SUPERMERCADOS,Alimentação,$alimentação/supermercado
KIPRECO SUPERMERCADO,Alimentação,$alimentação/supermercado
CASA GARGAU,Alimentação,$alimentação/supermercado
GAS & CIA QUERENCIA,Alimentação,$alimentação/supermercado
ATACADISTA BRASIL,Alimentação,$alimentação/supermercado
SUPERMERCADO CENTRAL,Alimentação,$alimentação/supermercado
POSTERUS,Alimentação,$alimentação/supermercado
SUPERMERCADOS BH,Alimentação,$alimentação/supermercado
CARVALHO'S MERCADO E DISTRIBUIDORA,Alimentação,$alimentação/supermercado
FLASH UTILIDADES,Alimentação,$alimentação/supermercado
LOJA DA MARCY,Alimentação,$alimentação/supermercado
HIPER M SOUZA,Alimentação,$alimentação/supermercado
SUPERMERCADO JARDIM PARAISO,Alimentação,$alimentação/supermercado
MASTER COMERCIO E SERVICO,Alimentação,$alimentação/supermercado
MERCADO PIMENTEL ALBERTON,Alimentação,$alimentação/supermercado
SUPERMERCADO CANTINHO RURAL,Alimentação,$alimentação/supermercado
SUPERMERCADO BARATAO,Alimentação,$alimentação/supermercado
SUPERMERCADO SILVA,Alimentação,$alimentação/supermercado
SUPERMERCADO E CONVENIENCIA TODO DIA,Alimentação,$alimentação/supermercado
MERCADO PARANA,Alimentação,$alimentação/supermercado
SAIDEIRA SUPERMERCADOS,Alimentação,$alimentação/supermercado
ATACADAO MAX ARGOLO,Alimentação,$alimentação/supermercado
VIVORE HORTIFRUTI,Alimentação,$alimentação/supermercado
HORTIFRUTI UNIAO,Alimentação,$alimentação/supermercado
SUPERMERCADO DO ROXINHO,Alimentação,$alimentação/supermercado
S M SUPERMERCADO FERREIRA,Alimentação,$alimentação/supermercado
SUPERMERCADO GUIMARAES,Alimentação,$alimentação/supermercado
CHAMA SUPERMERCADO,Alimentação,$alimentação/supermercado
SUPERMERCADO MODELO,Alimentação,$alimentação/supermercado
EMPORIO DB,Alimentação,$alimentação/supermercado
JUZE,Alimentação,$alimentação/supermercado
SUPERMERCADO FENIX,Alimentação,$alimentação/supermercado
SUPERMERCADO SAO PEDRO,Alimentação,$alimentação/supermercado
SUPERMERCADO NOVA ALIANCA,Alimentação,$alimentação/supermercado
CERVEJA E TUDO CAXANGA,Alimentação,$alimentação/supermercado
TEMPERO DO BILL,Alimentação,$alimentação/supermercado
MINI MERCADO NACK,Alimentação,$alimentação/supermercado
MARCELINHO DISTRIBUIDORA,Alimentação,$alimentação/supermercado
MERCADO TOP,Alimentação,$alimentação/supermercado
MERCADO DOIS IRMAOS,Alimentação,$alimentação/supermercado
COMERCIAL ITAMAR,Alimentação,$alimentação/supermercado
LOKOKO,Alimentação,$alimentação/supermercado
JR MERCADO,Alimentação,$alimentação/supermercado
EMPORIO DO VOVO E DA VOVO,Alimentação,$alimentação/supermercado
SUPERMERCADO GOMES & SILVA,Alimentação,$alimentação/supermercado
VIA BRASIL DISTRIBUIDORA,Alimentação,$alimentação/supermercado
COMERCIAL AIUB,Alimentação,$alimentação/supermercado
MERCADO BIG BEN,Alimentação,$alimentação/supermercado
JAPAN CONVENIENCE,Alimentação,$alimentação/supermercado
MERCANTIL SUPER MAX,Alimentação,$alimentação/supermercado
DISTRISERV COMERCIO E SERVICOS,Alimentação,$alimentação/supermercado
MERCEARIA O JACINTO MARIA,Alimentação,$alimentação/supermercado
HORA DO BOTEQUIM,Alimentação,$alimentação/supermercado
TIO PEREIRA DELICIAS DA ROCA,Alimentação,$alimentação/supermercado
COMERCIAL SOUZA,Alimentação,$alimentação/supermercado
PINHEIRO COMERCIO,Alimentação,$alimentação/supermercado
MERCADINHO NOSSA SENHORA DOS MILAGRES,Alimentação,$alimentação/supermercado
MERCADINHO NOVA VIDA,Alimentação,$alimentação/supermercado
MERCANTIL MAGALHAES,Alimentação,$alimentação/supermercado
MINAS PLASTICOS,Alimentação,$alimentação/supermercado
MERCADO SANTA LUZIA,Alimentação,$alimentação/supermercado
ARMAZEM SAO JOSE,Alimentação,$alimentação/supermercado
MERCADINHO E CONVENIENCIA DAORA,Alimentação,$alimentação/supermercado
DEGAS BEEF,Alimentação,$alimentação/supermercado
EMPORIO VO MARIA,Alimentação,$alimentação/supermercado
SUPER CLARA,Alimentação,$alimentação/supermercado
JAK MULTI VARIEDADES,Alimentação,$alimentação/supermercado
MERCEARIA TOM JOBIM,Alimentação,$alimentação/supermercado
MERCADINHO & FRUTARIA DA REGIANE,Alimentação,$alimentação/supermercado
MINI PRECO,Alimentação,$alimentação/supermercado
JP 25 DE AGOSTO,Alimentação,$alimentação/supermercado
MERCEARIA J. LO,Alimentação,$alimentação/supermercado
MERCADO PIRATUBA,Alimentação,$alimentação/supermercado
W.E. CONVENIENCIA,Alimentação,$alimentação/supermercado
MERCADINHO BORGES,Alimentação,$alimentação/supermercado
MANGUEIRAO IMPORTADOS,Alimentação,$alimentação/supermercado
ADEGA LIDER,Alimentação,$alimentação/supermercado
SHOW DO IOGURTE,Alimentação,$alimentação/supermercado
PEDRAO SUPERMERCADO,Alimentação,$alimentação/supermercado
AN MERCADINHO LUIZA,Alimentação,$alimentação/supermercado
RFMERCADO,Alimentação,$alimentação/supermercado
COMERCIAL LUIZ ROSA METO,Alimentação,$alimentação/supermercado
JARNILSON BOM PRECO E REPRESENTACOES,Alimentação,$alimentação/supermercado
PIZZARIA ESFIHARIA ANDORINHA,Alimentação,$alimentação/supermercado
MERCEARIA E FRIGORIFICO JL,Alimentação,$alimentação/supermercado
SAULO DA LARANJA,Alimentação,$alimentação/supermercado
COMERCIAL BEIRA RIO,Alimentação,$alimentação/supermercado
MERCADINHO OLIVEIRA,Alimentação,$alimentação/supermercado
MINIMERCADO ZAPP,Alimentação,$alimentação/supermercado
MERCADINHO VIEIRA,Alimentação,$alimentação/supermercado
ATACADAO DOS FRIOS,Alimentação,$alimentação/supermercado
MCDONALDS,Alimentação,$alimentação/restaurante
BURGER KING,Alimentação,$alimentação/restaurante
SUBWAY,Alimentação,$alimentação/restaurante
SPOLETO,Alimentação,$alimentação/restaurante
GIRAFFAS,Alimentação,$alimentação/restaurante
KFC,Alimentação,$alimentação/restaurante
PIZZA HUT,Alimentação,$alimentação/restaurante
OUTBACK,Alimentação,$alimentação/restaurante
VIVENDA DO CAMARÃO,Alimentação,$alimentação/restaurante
PATRONI PIZZA,Alimentação,$alimentação/restaurante
RAGAZZO,Alimentação,$alimentação/restaurante
STARBUCKS,Alimentação,$alimentação/restaurante
BOB’S,Alimentação,$alimentação/restaurante
CASA DO PÃO DE QUEIJO,Alimentação,$alimentação/restaurante
REI DO MATE,Alimentação,$alimentação/restaurante
CACAU SHOW,Alimentação,$alimentação/restaurante
